11#1101290	A Great Day in Harlem	POI			0.060836711	0.278118937	3	3	0.01	0.045	0.945	

12#27961148	A-Studio	POI			0.041070917	0.315761662	3	3	0.007	0.031	0.962	

11#36412557	Abadan	POI			0.055015833	0.428460321	3	3	0.005	0.018	0.977	
11#28081365	Abadan	POI			0.0754459	0.428460321	3	3	0.007	0.021	0.972	
10#29053965	Abadan	Town			0.079455863	0.428460321	3	3	0.007	0.022	0.971	
10#2254271	Abadan	Town			0.303525172	0.428460321	1	3	0.064	0.129	0.808	

11#2916677	Aberdeen	POI			0.037219854	0.595719042	3	3	0.002	0.005	0.992	
11#19168310	Aberdeen	POI			0.067406758	0.595719042	3	3	0.003	0.007	0.989	
11#29777531	Aberdeen	POI			0.0405209	0.595719042	3	3	0.003	0.006	0.992	
11#389892	Aberdeen	POI			0.041025011	0.595719042	3	3	0.003	0.006	0.992	
11#7733572	Aberdeen	POI			0.062675722	0.595719042	3	3	0.003	0.007	0.99	
10#108197	Aberdeen	Town			0.08162686	0.595719042	3	3	0.004	0.008	0.988	
10#108198	Aberdeen	Town			0.081509138	0.595719042	3	3	0.004	0.008	0.988	
10#1579358	Aberdeen	Town			0.087834191	0.595719042	3	3	0.004	0.008	0.987	
10#23392406	Aberdeen	Town			0.088758503	0.595719042	3	3	0.004	0.009	0.987	
10#23401653	Aberdeen	Town			0.087929507	0.595719042	3	3	0.004	0.009	0.987	
10#2351549	Aberdeen	Town			0.086836252	0.595719042	3	3	0.004	0.008	0.987	
10#2351552	Aberdeen	Town			0.08822039	0.595719042	3	3	0.004	0.009	0.987	
10#2351553	Aberdeen	Town			0.087546022	0.595719042	3	3	0.004	0.008	0.987	
10#2351558	Aberdeen	Town			0.08709554	0.595719042	3	3	0.004	0.008	0.987	
10#2351566	Aberdeen	Town			0.0871107	0.595719042	3	3	0.004	0.008	0.987	
10#28583835	Aberdeen	Town			0.084314841	0.595719042	3	3	0.004	0.008	0.988	
10#2351550	Aberdeen	Town			0.14098132	0.595719042	3	3	0.007	0.013	0.979	
10#2351557	Aberdeen	Town			0.141385588	0.595719042	3	3	0.007	0.013	0.979	
10#2351559	Aberdeen	Town			0.140666407	0.595719042	3	3	0.007	0.013	0.979	
10#28745656	Aberdeen	Town			0.140279196	0.595719042	3	3	0.007	0.013	0.979	
10#29374429	Aberdeen	Town			0.172757848	0.595719042	3	3	0.01	0.018	0.972	
10#2169	Aberdeen	Town			0.180402922	0.595719042	3	3	0.011	0.019	0.97	
10#2351554	Aberdeen	Town			0.209380548	0.595719042	3	3	0.015	0.024	0.961	
10#2351555	Aberdeen	Town			0.213969235	0.595719042	3	3	0.016	0.025	0.959	
10#26342931	Aberdeen	Town			0.230186244	0.595719042	3	3	0.019	0.029	0.953	
10#1099796	Aberdeen	Town			0.245138461	0.595719042	3	3	0.022	0.032	0.946	
10#2351565	Aberdeen	Town			0.272604382	0.595719042	3	3	0.028	0.04	0.931	
10#2351563	Aberdeen	Town			0.306272109	0.595719042	3	3	0.04	0.053	0.907	
10#2351562	Aberdeen	Town			0.33294246	0.595719042	2	3	0.051	0.065	0.883	
10#2164425	Aberdeen	Town			0.377883986	0.595719042	3	3	0.078	0.091	0.831	
10#2351564	Aberdeen	Town			0.468945546	0.595719042	2	3	0.166	0.163	0.671	
10#2351561	Aberdeen	Town			0.504859996	0.595719042	2	3	0.214	0.197	0.59	
10#10243	Aberdeen	Town			0.714484143	0.595719042	2	1	0.521	0.324	0.155	

12#2995100	Above the Clouds	POI			0.03821745	0.384641924	3	3	0.005	0.02	0.975	

11#22754513	Acroma	POI			0.054319401	0.245005812	2	3	0.01	0.052	0.938	

10#56771468	Air	POI			0.044095535	0.766938782	3	3	0.001	0.002	0.997	
10#29107372	Air	Town			0.079400033	0.766938782	3	3	0.002	0.003	0.995	
11#4786100	Air	POI			0.065367044	0.766938782	3	3	0.002	0.002	0.996	

11#6769277	Akbar	POI			0.045086839	0.528283764	3	3	0.003	0.009	0.988	

11#11533386	Albion	POI			0.049072857	0.562084352	3	3	0.003	0.007	0.989	
11#139153	Albion	POI			0.037165961	0.562084352	3	3	0.003	0.007	0.99	
11#139834	Albion	POI			0.040938849	0.562084352	3	3	0.003	0.007	0.99	
11#27117132	Albion	POI			0.054522109	0.562084352	3	3	0.003	0.008	0.989	
10#108217	Albion	Town			0.081860934	0.562084352	3	3	0.004	0.01	0.986	
10#56771685	Albion	POI			0.068887326	0.562084352	3	3	0.004	0.009	0.987	
10#56833972	Albion	POI			0.067661128	0.562084352	3	3	0.004	0.009	0.987	
10#108218	Albion	Town			0.082594138	0.562084352	3	3	0.005	0.01	0.986	
10#23389799	Albion	Town			0.088675581	0.562084352	3	3	0.005	0.01	0.985	
10#23405005	Albion	Town			0.08913736	0.562084352	3	3	0.005	0.011	0.985	
10#2352753	Albion	Town			0.085983308	0.562084352	3	3	0.005	0.01	0.985	
10#2352756	Albion	Town			0.087626354	0.562084352	3	3	0.005	0.01	0.985	
10#2352758	Albion	Town			0.086946645	0.562084352	3	3	0.005	0.01	0.985	
10#2352760	Albion	Town			0.090988068	0.562084352	3	3	0.005	0.011	0.984	
10#2352761	Albion	Town			0.08709554	0.562084352	3	3	0.005	0.01	0.985	
10#2352778	Albion	Town			0.086836252	0.562084352	3	3	0.005	0.01	0.985	
10#28583852	Albion	Town			0.084106137	0.562084352	3	3	0.005	0.01	0.985	
10#2352755	Albion	Town			0.141497312	0.562084352	3	3	0.008	0.017	0.975	
10#2352769	Albion	Town			0.140914029	0.562084352	3	3	0.008	0.016	0.975	
10#2352777	Albion	Town			0.140508481	0.562084352	3	3	0.008	0.016	0.975	
10#2352757	Albion	Town			0.144131443	0.562084352	3	3	0.009	0.017	0.975	
10#2352767	Albion	Town			0.158429192	0.562084352	3	3	0.01	0.019	0.971	
10#2352764	Albion	Town			0.179414434	0.562084352	3	3	0.012	0.023	0.965	
10#2495895	Albion	Town			0.179910675	0.562084352	3	3	0.012	0.023	0.965	
10#2352772	Albion	Town			0.209088301	0.562084352	3	3	0.017	0.029	0.954	
10#2352766	Albion	Town			0.23390939	0.562084352	3	3	0.022	0.036	0.942	
10#2352754	Albion	Town			0.273182262	0.562084352	3	3	0.032	0.049	0.919	
10#2352768	Albion	Town			0.273984711	0.562084352	3	3	0.032	0.05	0.918	
10#2352762	Albion	Town			0.278660641	0.562084352	3	3	0.034	0.052	0.915	
10#2352765	Albion	Town			0.289180085	0.562084352	3	3	0.037	0.056	0.906	
10#2352763	Albion	Town			0.306829887	0.562084352	3	3	0.044	0.064	0.891	
10#2352771	Albion	Town			0.352495219	0.562084352	3	3	0.068	0.091	0.841	

11#6427815	Alison	POI			0.035367205	0.638954359	3	3	0.002	0.004	0.994	
10#28583854	Alison	Town			0.084314841	0.638954359	3	3	0.003	0.006	0.99	
10#28583855	Alison	Town			0.138126648	0.638954359	3	3	0.006	0.01	0.984	

10#10757	Alyth	Town			0.241725401	0	2	2	0.081	0.517	0.402	

10#56895435	Ambassador	POI			0.040868914	0.655960112	3	3	0.002	0.004	0.994	
10#56622083	Ambassador	Town			0.088908358	0.655960112	3	3	0.003	0.006	0.991	

10#56502535	And	POI			0.076493546	0.698065716	3	3	0.003	0.004	0.993	
10#56514949	And	POI			0.076034246	0.698065716	3	3	0.003	0.004	0.993	

10#752447	Andina	Town			0.083656771	0.376964959	3	3	0.009	0.031	0.961	

11#10516981	Andra	POI			0.031989012	0.558982065	3	3	0.003	0.007	0.991	
11#32661007	Andra	POI			0.032161562	0.558982065	3	3	0.003	0.007	0.991	
10#2120023	Andra	Town			0.080016449	0.558982065	3	3	0.004	0.01	0.986	
10#2273122	Andra	Town			0.079706416	0.558982065	3	3	0.004	0.01	0.986	

10#2354670	Andre	Town			0.086946645	0.547990928	3	3	0.005	0.011	0.984	
10#841938	Andre	Town			0.087626767	0.547990928	3	3	0.005	0.011	0.984	

11#189351	Angkor Wat	POI			0.070154989	0.634467597	3	3	0.003	0.006	0.991	
10#23686079	Angkor Wat	POI			0.070154989	0.634467597	1	3	0.003	0.006	0.991	

10#20198102	Angles	Town			0.086129973	0.59357062	3	3	0.004	0.008	0.987	
10#20199660	Angles	Town			0.086129973	0.59357062	3	3	0.004	0.008	0.987	
10#576136	Angles	Town			0.087142922	0.59357062	3	3	0.004	0.009	0.987	
10#576138	Angles	Town			0.08644975	0.59357062	3	3	0.004	0.009	0.987	
10#752482	Angles	Town			0.084777407	0.59357062	3	3	0.004	0.008	0.987	
10#576137	Angles	Town			0.139913547	0.59357062	3	3	0.007	0.013	0.979	

10#20258291	Anji	Town			0.081712326	0.397038763	3	3	0.008	0.027	0.965	
10#2132621	Anji	Town			0.081636544	0.397038763	2	3	0.008	0.027	0.965	
10#2163962	Anji	Town			0.0820032	0.397038763	3	3	0.008	0.027	0.965	
10#2292280	Anji	Town			0.079554792	0.397038763	3	3	0.008	0.026	0.966	
10#29033317	Anji	Town			0.079554792	0.397038763	3	3	0.008	0.026	0.966	
10#29035280	Anji	Town			0.079554792	0.397038763	3	3	0.008	0.026	0.966	
10#29035300	Anji	Town			0.079554792	0.397038763	3	3	0.008	0.026	0.966	
10#29050369	Anji	Town			0.079455863	0.397038763	3	3	0.008	0.026	0.966	

11#32754099	Anna	POI			0.057517214	0.713996151	3	3	0.002	0.003	0.995	
10#1983189	Anna	Town			0.079850455	0.713996151	3	3	0.003	0.004	0.994	
10#2120040	Anna	Town			0.079070482	0.713996151	3	3	0.003	0.004	0.994	
10#2354843	Anna	Town			0.0871107	0.713996151	3	3	0.003	0.004	0.993	
10#710159	Anna	Town			0.086746428	0.713996151	3	3	0.003	0.004	0.993	
10#752517	Anna	Town			0.084268024	0.713996151	3	3	0.003	0.004	0.993	
10#841955	Anna	Town			0.08686758	0.713996151	3	3	0.003	0.004	0.993	
10#841956	Anna	Town			0.086790068	0.713996151	3	3	0.003	0.004	0.993	
10#851395	Anna	Town			0.08428244	0.713996151	3	3	0.003	0.004	0.993	
10#2354844	Anna	Town			0.140565183	0.713996151	3	3	0.005	0.007	0.989	
10#2354845	Anna	Town			0.178897997	0.713996151	3	3	0.007	0.009	0.984	
10#2354846	Anna	Town			0.262378895	0.713996151	2	3	0.017	0.019	0.964	
10#2354847	Anna	Town			0.337747663	0.713996151	3	3	0.037	0.035	0.929	

11#24140798	Anza	POI			0.041138716	0.370330824	3	3	0.006	0.022	0.972	
10#2355183	Anza	Town			0.087623037	0.370330824	2	3	0.009	0.033	0.958	
